Time	RFU(A01)	RFU(A02)	RFU(A03)	RFU(A04)	RFU(A05)	RFU(A06)	RFU(A07)	RFU(A08)	RFU(A09)	RFU(A10)	RFU(A11)	RFU(A12)	C	PlateId	RunProfileEntryIndex	RunNumber	Row
0.12				0.000000										2021-01-07_9776	1	1	A
0.23				0.000000										2021-01-07_9776	1	1	A
0.35				0.000000										2021-01-07_9776	1	1	A
0.47				0.000000										2021-01-07_9776	1	1	A
0.59				0.000000										2021-01-07_9776	1	1	A
0.70				0.000000										2021-01-07_9776	1	1	A
0.82				0.000000										2021-01-07_9776	1	1	A
0.94				0.000000										2021-01-07_9776	1	1	A
1.05				0.000000										2021-01-07_9776	1	1	A
1.17				0.000000										2021-01-07_9776	1	1	A
1.29				0.000000										2021-01-07_9776	1	1	A
1.40				0.000000										2021-01-07_9776	1	1	A
1.52				0.000000										2021-01-07_9776	1	1	A
1.64				0.000000										2021-01-07_9776	1	1	A
1.76				0.000000										2021-01-07_9776	1	1	A
1.87				0.000000										2021-01-07_9776	1	1	A
1.99				0.000000										2021-01-07_9776	1	1	A
2.11				0.000000										2021-01-07_9776	1	1	A
2.22				0.000000										2021-01-07_9776	1	1	A
2.34				0.000000										2021-01-07_9776	1	1	A
2.46				0.000000										2021-01-07_9776	1	1	A
2.57				0.000000										2021-01-07_9776	1	1	A
2.69				0.000000										2021-01-07_9776	1	1	A
2.81				0.000000										2021-01-07_9776	1	1	A
2.93				0.000000										2021-01-07_9776	1	1	A
3.04				0.000000										2021-01-07_9776	1	1	A
3.16				0.000000										2021-01-07_9776	1	1	A
3.28				0.000000										2021-01-07_9776	1	1	A
3.39				0.000000										2021-01-07_9776	1	1	A
3.51				0.000000										2021-01-07_9776	1	1	A
3.63				0.000000										2021-01-07_9776	1	1	A
3.74				0.000000										2021-01-07_9776	1	1	A
3.86				0.000000										2021-01-07_9776	1	1	A
3.98				0.000000										2021-01-07_9776	1	1	A
4.10				0.000000										2021-01-07_9776	1	1	A
4.21				0.000000										2021-01-07_9776	1	1	A
4.33				0.000000										2021-01-07_9776	1	1	A
4.45				0.000000										2021-01-07_9776	1	1	A
4.56				0.000000										2021-01-07_9776	1	1	A
4.68				0.000000										2021-01-07_9776	1	1	A
4.80				0.000000										2021-01-07_9776	1	1	A
4.91				0.000000										2021-01-07_9776	1	1	A
5.03				0.000000										2021-01-07_9776	1	1	A
5.15				0.000000										2021-01-07_9776	1	1	A
5.27				0.000000										2021-01-07_9776	1	1	A
5.38				0.000000										2021-01-07_9776	1	1	A
5.50				0.000000										2021-01-07_9776	1	1	A
5.62				0.000000										2021-01-07_9776	1	1	A
5.73				0.000000										2021-01-07_9776	1	1	A
5.85				0.000000										2021-01-07_9776	1	1	A
5.97				0.000000										2021-01-07_9776	1	1	A
6.08				0.000000										2021-01-07_9776	1	1	A
6.20				0.000000										2021-01-07_9776	1	1	A
6.32				0.000000										2021-01-07_9776	1	1	A
6.44				0.000000										2021-01-07_9776	1	1	A
6.55				0.000000										2021-01-07_9776	1	1	A
6.67				0.000000										2021-01-07_9776	1	1	A
6.79				0.000000										2021-01-07_9776	1	1	A
6.90				0.000000										2021-01-07_9776	1	1	A
7.02				0.000000										2021-01-07_9776	1	1	A
7.14				0.000000										2021-01-07_9776	1	1	A
7.25				0.000000										2021-01-07_9776	1	1	A
7.37				0.000000										2021-01-07_9776	1	1	A
7.49				0.000000										2021-01-07_9776	1	1	A
7.61				0.000000										2021-01-07_9776	1	1	A
7.72				0.000000										2021-01-07_9776	1	1	A
7.84				0.000000										2021-01-07_9776	1	1	A
7.96				0.000000										2021-01-07_9776	1	1	A
8.07				-0.000400										2021-01-07_9776	1	1	A
8.19				-0.000500										2021-01-07_9776	1	1	A
8.31				0.000100										2021-01-07_9776	1	1	A
8.42				0.001800										2021-01-07_9776	1	1	A
8.54				0.003500										2021-01-07_9776	1	1	A
8.66				0.004200										2021-01-07_9776	1	1	A
8.78				0.004800										2021-01-07_9776	1	1	A
8.89				0.004500										2021-01-07_9776	1	1	A
9.01				0.002900										2021-01-07_9776	1	1	A
9.13				0.001200										2021-01-07_9776	1	1	A
9.24				-0.000600										2021-01-07_9776	1	1	A
9.36				-0.002900										2021-01-07_9776	1	1	A
9.48				-0.003400										2021-01-07_9776	1	1	A
9.59				-0.001000										2021-01-07_9776	1	1	A
9.71				0.003000										2021-01-07_9776	1	1	A
9.83				0.006300										2021-01-07_9776	1	1	A
9.95				0.007200										2021-01-07_9776	1	1	A
10.06				0.005600										2021-01-07_9776	1	1	A
10.18				0.003300										2021-01-07_9776	1	1	A
10.30				0.001400										2021-01-07_9776	1	1	A
10.41				-0.000300										2021-01-07_9776	1	1	A
10.53				-0.003700										2021-01-07_9776	1	1	A
10.65				-0.008400										2021-01-07_9776	1	1	A
10.76				-0.011800										2021-01-07_9776	1	1	A
10.88				-0.012900										2021-01-07_9776	1	1	A
11.00				-0.013000										2021-01-07_9776	1	1	A
11.12				-0.013600										2021-01-07_9776	1	1	A
11.23				-0.013500										2021-01-07_9776	1	1	A
11.35				-0.011400										2021-01-07_9776	1	1	A
11.47				-0.008000										2021-01-07_9776	1	1	A
11.58				-0.003700										2021-01-07_9776	1	1	A
11.70				-0.000600										2021-01-07_9776	1	1	A
11.82				-0.000800										2021-01-07_9776	1	1	A
11.93				-0.003300										2021-01-07_9776	1	1	A
12.05				-0.005000										2021-01-07_9776	1	1	A
12.17				-0.005500										2021-01-07_9776	1	1	A
12.29				-0.005000										2021-01-07_9776	1	1	A
12.40				-0.004100										2021-01-07_9776	1	1	A
12.52				-0.003400										2021-01-07_9776	1	1	A
12.64				-0.001700										2021-01-07_9776	1	1	A
12.75				0.002500										2021-01-07_9776	1	1	A
12.87				0.008400										2021-01-07_9776	1	1	A
12.99				0.012100										2021-01-07_9776	1	1	A
13.10				0.012300										2021-01-07_9776	1	1	A
13.22				0.010800										2021-01-07_9776	1	1	A
13.34				0.008900										2021-01-07_9776	1	1	A
13.46				0.007500										2021-01-07_9776	1	1	A
13.57				0.006200										2021-01-07_9776	1	1	A
13.69				0.005900										2021-01-07_9776	1	1	A
13.81				0.008000										2021-01-07_9776	1	1	A
13.92				0.011600										2021-01-07_9776	1	1	A
14.04				0.014600										2021-01-07_9776	1	1	A
14.16				0.015400										2021-01-07_9776	1	1	A
14.27				0.014700										2021-01-07_9776	1	1	A
14.39				0.015000										2021-01-07_9776	1	1	A
14.51				0.015700										2021-01-07_9776	1	1	A
